,pert_id,cell_iname,pert_dose_num,pert_time_num
ASG002_A549_24H:H03,BRD-K64890080,A549,0.1,24.0
ASG002_A549_24H:H13,BRD-K20285085,A549,10.0,24.0
ASG002_A549_24H:H14,BRD-K20285085,A549,1.0,24.0
ASG002_A549_24H:H15,BRD-K20285085,A549,0.1,24.0
ASG002_A549_24H:J01,BRD-K62391742,A549,10.0,24.0
ASG002_A549_24H:J02,BRD-K62391742,A549,1.0,24.0
ASG002_A549_24H:J03,BRD-K62391742,A549,0.1,24.0
ASG002_A549_24H:K04,BRD-K93918653,A549,10.0,24.0
ASG002_A549_24H:K05,BRD-K93918653,A549,1.0,24.0
ASG002_A549_24H:K06,BRD-K93918653,A549,0.1,24.0
ASG002_A549_24H:L19,BRD-K22134346,A549,10.0,24.0
ASG002_A549_24H:L20,BRD-K22134346,A549,1.0,24.0
ASG002_A549_24H:L21,BRD-K22134346,A549,0.1,24.0
ASG002_A549_24H:N01,BRD-A13084692,A549,10.0,24.0
ASG002_A549_24H:N02,BRD-A13084692,A549,1.0,24.0
ASG002_A549_24H:N03,BRD-A13084692,A549,0.1,24.0
ASG002_A549_24H:N19,BRD-K77625799,A549,10.0,24.0
ASG002_A549_24H:N20,BRD-K77625799,A549,1.0,24.0
ASG002_A549_24H:N21,BRD-K77625799,A549,0.1,24.0
ASG002_MCF7_24H:D13,BRD-K52233191,MCF7,10.0,24.0
ASG002_MCF7_24H:D14,BRD-K52233191,MCF7,1.0,24.0
ASG002_MCF7_24H:D15,BRD-K52233191,MCF7,0.1,24.0
ASG002_MCF7_24H:E19,BRD-K71035033,MCF7,10.0,24.0
ASG002_MCF7_24H:E20,BRD-K71035033,MCF7,1.0,24.0
ASG002_MCF7_24H:E21,BRD-K71035033,MCF7,0.1,24.0
ASG002_MCF7_24H:E22,BRD-K07691486,MCF7,10.0,24.0
ASG002_MCF7_24H:E23,BRD-K07691486,MCF7,1.0,24.0
ASG002_MCF7_24H:E24,BRD-K07691486,MCF7,0.1,24.0
ASG002_MCF7_24H:F04,BRD-K87909389,MCF7,10.0,24.0
ASG002_MCF7_24H:F05,BRD-K87909389,MCF7,1.0,24.0
ASG002_MCF7_24H:F06,BRD-K87909389,MCF7,0.1,24.0
ASG002_MCF7_24H:F16,BRD-K64052750,MCF7,10.0,24.0
ASG002_MCF7_24H:F17,BRD-K64052750,MCF7,1.0,24.0
ASG002_MCF7_24H:F18,BRD-K64052750,MCF7,0.1,24.0
ASG002_MCF7_24H:G13,BRD-K81418486,MCF7,10.0106,24.0
ASG002_MCF7_24H:G14,BRD-K81418486,MCF7,1.00106,24.0
ASG002_MCF7_24H:G15,BRD-K81418486,MCF7,0.100106,24.0
ASG002_MCF7_24H:G16,BRD-K89162000,MCF7,9.99995,24.0
ASG002_MCF7_24H:G17,BRD-K89162000,MCF7,0.999995,24.0
ASG002_MCF7_24H:G18,BRD-K89162000,MCF7,0.0999995,24.0
ASG002_MCF7_24H:H01,BRD-K64890080,MCF7,10.0,24.0
ASG002_MCF7_24H:H02,BRD-K64890080,MCF7,1.0,24.0
ASG002_MCF7_24H:H03,BRD-K64890080,MCF7,0.1,24.0
ASG002_MCF7_24H:H13,BRD-K20285085,MCF7,10.0,24.0
ASG002_MCF7_24H:H14,BRD-K20285085,MCF7,1.0,24.0
ASG002_MCF7_24H:H15,BRD-K20285085,MCF7,0.1,24.0
ASG002_MCF7_24H:J01,BRD-K62391742,MCF7,10.0,24.0
ASG002_MCF7_24H:J02,BRD-K62391742,MCF7,1.0,24.0
ASG002_MCF7_24H:J03,BRD-K62391742,MCF7,0.1,24.0
ASG002_MCF7_24H:K04,BRD-K93918653,MCF7,10.0,24.0
ASG002_MCF7_24H:K05,BRD-K93918653,MCF7,1.0,24.0
ASG002_MCF7_24H:K06,BRD-K93918653,MCF7,0.1,24.0
ASG002_MCF7_24H:L19,BRD-K22134346,MCF7,10.0,24.0
ASG002_MCF7_24H:L20,BRD-K22134346,MCF7,1.0,24.0
ASG002_MCF7_24H:L21,BRD-K22134346,MCF7,0.1,24.0
ASG002_MCF7_24H:N01,BRD-A13084692,MCF7,10.0,24.0
